Website,Creator,Description,Format(s)
DH Toychest,Alan Liu,assortment of humanities data,plain text; csv
Visualizing English Print,"Team at U Wisconsin, the Folger Shakespeare Library, and Strathclyde U",early modern literature,plain text;
Singapore Open Data,Government of Singapore,national data,csv
txtLab,Team at McGill U,novels; literary scholarship,plain text; csv
Spatial Humanities,Lincoln Mullen,map data,csv; shapefiles
Gephi Datasets,Gephi,network analysis data,gexf; gml; net
Project Gutenberg,Project Gutenberg,novels,plain text
Folger Digital Texts,The Folger Shakespeare Library,plays,plain text
HathiTrust Digital Library,Hathi Trust,novels,plain text; csv
Journal of Cultural Analytics,CA authors,humanities data,varies
Makeover Monday,Tableau,variety,xlsx
Open Data for Deep Learning,Deep Learning for Java (DL4J),image computation,varies
Art Data,Several art museums,images and metadata,"csv, json"